_id,Project ID,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,Blank,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Sub_Contractor_Remarks,Site_Status,Dependency,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,PAT_Submitted,PAT_Pass_Date,On_Air_Status,On_Air_Date,Last Modified By,Supply_PR_Status,Supply_PR_Number,SAR_Date,SAR_Reference,PAT_Reference,Balance_Material_Returned_Date,Check_List_Verified,Material_Reconciled,Check_List_Submitted,Dependencies_On_Air_Target,Supply_BOQ_Submitted,Supply_BOQ_Approved,Power_Connected_Date,TX_Connected_Date,IMP_PR_Number
639b54bf135f56581322c04d,62e8e36c35659d158f2e4d0d,202201023,Mobitel Direct,Other Project 2022,MTWLG1,Welegoda,3/1/2022,Miscellaneous HO Huawei2022,G18L18,TBC,Approved,123,N/A,4 for all,90170240,12,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,1/23/2020,Need to completed before 14th March 2022,Mohamed Imran,3/2/2022,New Site,N/A,Garter Solutions,Pass with minor,PAT Submitted,Rectification Pending,Project,Completed,5/1/2022,Completed,5/3/2022,Completed,5/30/2022,Pending,Pass with minor,6/2/2022,9/12/2022,Completed,5/30/2022,Mohamed Imran,,,,,,,,,,,,,,,
639b54bf135f56581322c03f,62e8e36c35659d158f2e4cff,202201009,Mobitel Direct,Other Project 2022,BDHAP2,Haputhale,1/23/2022,Miscellaneous HO Huawei2022,G9L850,TBC,Approved,123,N/A,4 for all,90	 150	230,48,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Tiresh,1/9/2020,Need to completed before 26th January 2022,Yomal Kodagoda,1/23/2022,New Site,N/A,Intel,N/A,On Air,N/A,N/A,Completed,1/26/2022,Completed,1/28/2022,Completed,1/26/2022,Pending,Pass,1/29/2022,3/12/2022,Completed,1/26/2022,Chamara Jayasanka,,,,,,,,,,,,,,,
639b54bf135f56581322c038,62e8e36c35659d158f2e4cf8,202201002,Mobitel Direct,Other Project 2022,RTTKT1,Kuttapitiya,1/12/2022,Miscellaneous HO Huawei2022,G9L850L21,TBC,Approved,123,N/A,4 for all,120	 240	 330,30,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Tiresh,1/2/2020,Gamata Sanniwedanaya site			Temporary sites till New tower construction			Need Implement Hybrid Battery Solution,Yomal Kodagoda,1/18/2022,New Site,N/A,Intel Solutions,PAT Approval Pending,On Air,N/A,N/A,Completed,2/24/2022,Completed,2/26/2022,Completed,2/28/2022,PAT Only,Pass,3/3/2022,11/24/2022,Completed,2/28/2022,Chamara Jayasanka,Approved,test,,,,,,,,,,,,,
639b54bf135f56581322c057,62e8e36c35659d158f2e4d17,202201033,Mobitel Direct,Other Project 2022,IBARM1,Army Hospital,3/15/2022,1. Miscellaneous HO Huawei2022,3G RRU SWAP,TBC,N/A,123,N/A,Existing,Existing,IBS,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/2/2020,N/A,Kasun Kandamulla,3/15/2022,N/A,N/A,,N/A,On Air,N/A,N/A,Pending,,Installation Pending,,Pending,,Pending,Pending,,,Pending,,Chamara Jayasanka,,,,,,,,,,,,,,,
639b54bf135f56581322c062,62e8e36c35659d158f2e4d22,202201044,Mobitel Direct,Other Project 2022,BTKLR2,Periyaneelavanai,3/18/2022,Miscellaneous HO Huawei2022,3012 Equipment removals,TBC,Pending,123,N/A,Existing,Existing,40,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chamith,2/13/2020,N/A,Dumindu Chamikara,3/21/2022,N/A,N/A,,Removal Pending,Not Started,Approval,Project,Completed,11/17/2022,Completed,11/18/2022,Completed,11/19/2022,Pending,Pending,,,Completed,11/22/2022,Chamara Jayasanka,,,,,,,,,,,,,,,
639b54bf135f56581322c063,62e8e36c35659d158f2e4d23,202201045,Mobitel Direct,Other Project 2022,MTTEL2,Thelijjavila_2,3/18/2022,Miscellaneous HO Huawei2022,L1800 2T2R,TBC,Pending,123,N/A,Existing,Existing,60,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,2/14/2020,N/A,Suranga Gunawardhana,3/21/2022,New Site,N/A,,Approval Pending,Not Started,Approval,Planning,Completed,2/17/2022,Completed,2/18/2022,Completed,2/19/2022,Pending,Pass,,2/20/2022,Completed,2/22/2022,Suranga Gunawardhana,,,,,,,,,,,,,,,
639b54bf135f56581322c06a,62e8e39f35659d158f2e4d41,202201052,Mobitel Direct,Other Project 2022,KLGON1,Gonapola,3/22/2022,Miscellaneous HO Huawei2022,2T2R sector convetion,TBC,Approved,123,N/A,Existing,Existing,55,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,2/21/2020,Due to urgency please proceed sector 1(75) before 25th March 2022 ,Dumindu Chamikara,3/22/2022,VIP Capacity Upgrade,N/A,L & H,PAT Approval Pending,PAT Submitted,Approval,Operation,Completed,3/24/2022,Completed,3/26/2022,Completed,3/24/2022,Pending,Pass,3/24/2022,8/15/2022,Completed,8/16/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c06d,62e8e39f35659d158f2e4d44,202201055,Mobitel Direct,Other Project 2022,GMWTP2,Wathupitiwala2,3/29/2022,Miscellaneous HO Huawei2022,G18L18,TBC,Approved,123,N/A,4,20	 160	 340,52.5,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Rabel,2/24/2020,Need to complete before 5th April 2022,Dumindu Chamikara,3/30/2022,New Site,N/A,Intel Solutions,PAT Pass,On Air,N/A,N/A,Completed,4/6/2022,Completed,4/8/2022,Completed,4/6/2022,Pending,Pending,,,Completed,4/9/2022,Dumindu Chamikara,,,,,,,,,,,,,,,
639b54bf135f56581322c08e,62e8e39f35659d158f2e4d65,202201088,Mobitel Direct,Other Project 2022,ZMAH73,Boralesgamuwa East,5/13/2022,Miscellaneous HO Huawei2022,G18L18,TBC,Pending,123,N/A,0	 120	 240,24,9,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Huawei,3/28/2020,N/A,Yomal Kodagoda,5/17/2022,New Site,N/A,,TSSR Pending,Installation Pending,Implementation,Project,Completed,6/12/2022,Completed,6/15/2022,Completed,6/18/2022,Approved,Pass,6/21/2022,10/5/2022,Completed,6/18/2022,Yomal Kodagoda,,,7/2/2022,,,,,,,,,,,,
639b54bf135f56581322c095,62e8e39f35659d158f2e4d6c,202201095,Mobitel Direct,Other Project 2022,KLKHN1,Kehelnawa,5/25/2022,1. Miscellaneous HO Huawei2022,L21,TBC,Pending,123,N/A,4,0	 120	 240,N/A,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,4/4/2020,N/A,Suranga Gunawardhana,5/26/2022,New Site,N/A,Suvitech Networks Pvt Ltd,Installation Completed,Installed,Power Pending,Power,Completed,10/6/2022,Completed,10/10/2022,Pending,,Pending,Pending,,,Pending,,Chamara Jayasanka,,,,,,,,,,,,,,,
