_id,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,IMP_Scenario,blank1,blank2,blank3,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Sub_Contractor_Remarks,Site_Status,Dependency,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,PAT_Pass_Date,On_Air_Status,On_Air_Date,__v,createdAt,updatedAt,AWR_1,AWR_2,AWR_3,Approval_Received_Date,BOI_Approved,Balance_Material_Returned_Date,COW_Approved,COW_Number,COW_Submitted,CPL_Approved,CPL_Number,CPL_Submitted,Capitalization_Status,Capitalized_Date,Check_List_Submitted,Check_List_Verified,Civil_PAT_Date,Dependencies_On_Air_Target,ETA,FAC_Approved,FAC_Number,FAC_Submitted,Finance_Remarks,HO_Modification,HO_Modified_Date,ICL_Approved,IMP_PO_Issued,IMP_PO_Number,IMP_PR_Approved_Date,IMP_PR_Number,IMP_PR_Raised,IMP_PR_Submitted,Logistics_Remarks,MCW_Completed_Date,MCW_Requested_Date,Material_Reconciled,PAC_Invoice_Approved,PAC_Invoice_Number,PAC_Invoice_Submitted,PAT_Reference,PAT_Submitted,PI_Approved_ENG,PI_Number,PI_Submitted,PO_Closed_Date,PO_Status,Payment_Confirmed,Payment_Method,Port_Clearance,Power_Connected_Date,Received_To_Port,SAQ_Clearance_Date,SAR_Date,SAR_Reference,Supply_BOQ_Approved,Supply_BOQ_Submitted,Supply_PO_Issued,Supply_PO_Number,Supply_PR_Approved_Date,Supply_PR_Number,Supply_PR_Raise,Supply_PR_Status,Supply_PR_Submitted,TRC_Approved,TSSR_Approved_Date,TSSR_Referance,TSSR_Submitted_Date,TX_Connected_Date,currentUser
62e90ff2092ec9454c92a0c5,202201018,Mobitel Direct,Other Project 2022,MTTEL2,Edit 1,2022-02-08,1. Miscellaneous HO Huawei2022,Edit 1,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,2 for All,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,Invalid date,Need to install new 4th sector at 30 azimuth			Need to change 80 azimuth to 120 with installing single bracket on antenna leg			Need to change 245 azimuth to 215 with installing single bracket on antenna leg			4th sector need to arrange in 320 direction with G9L85 previously planned L18 with withdrawn			Sector 1 need to arrange 30 direction G9UL18			Sector 2 need to arrange 120 direction G9UL18			Sector 3 need to arrange 215 direction G9UL18,Suranga Gunawardhana,Invalid date,New Site,N/A,Suvitech,N/A,PAT Pass / On Air,N/A,N/A,Completed,2022-02-18,Completed,2022-02-20,Completed,2022-02-19,Pending,Pass,2022-02-20,Completed,2022-02-19,0,2022-08-02T11:52:18.362Z,2022-09-05T09:51:25.923Z,Edit 08-26,Edit 08-26,Edit 08-26,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-26,null,Not Applicable,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0bd,202201010,Mobitel Direct,Other Project 2022,KUKTG1,Edit 2,2022-01-31,1. Miscellaneous HO Huawei2022,Edit 2,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Rabel,2020-01-10,N/A,Dumindu Chamikara,2022-02-02,New Site,N/A,null,Implementation Pending,Installation Pending,Implementation,Project,Pending,Invalid date,Pending,Invalid date,Pending,Invalid date,Pending,Pending,Invalid date,Completed,2022-09-08,0,2022-08-02T11:52:18.356Z,2022-09-09T16:35:53.600Z,Edit 08-27,Edit 08-27,Edit 08-27,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-27,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0d2,202201031,Mobitel Direct,Other Project 2022,IBPEG1,Edit 3,2022-03-15,1. Miscellaneous HO Huawei2022,Edit 3,TBC,N/A,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,2020-01-31,N/A,Suranga Gunawardhana,2022-03-15,N/A,N/A,null,N/A,PAT Pass / On Air,N/A,N/A,Pending,Invalid date,Pending,Invalid date,Pending,Invalid date,Pending,Pending,Invalid date,Completed,2022-09-06,0,2022-08-02T11:52:18.372Z,2022-09-09T16:36:02.972Z,Edit 08-28,Edit 08-28,Edit 08-28,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-28,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0bf,202201012,Mobitel Direct,Other Project 2022,KUDUN1,Edit 4,2022-01-31,1. Miscellaneous HO Huawei2022,Edit 4,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Rabel,2020-01-12,N/A,Dumindu Chamikara,2022-02-02,New Site,N/A,null,Implementation Pending,Installation Pending,Implementation,Project,Pending,Invalid date,Pending,Invalid date,Pending,Invalid date,Pending,Pending,Invalid date,Completed,2022-09-06,0,2022-08-02T11:52:18.357Z,2022-09-09T16:36:11.651Z,Edit 08-29,Edit 08-29,Edit 08-29,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-29,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0b8,202201005,Mobitel Direct,Other Project 2022,COL029,Edit 5,2022-01-12,1. Miscellaneous HO Huawei2022,Edit 5,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,1900-01-04,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Thilanka,2020-01-05,This temporary installation for Independence day capacity enhancement 2022			Need to commission before 1st February 2022 and can remove after 6th February 2022			Access permission will be arrange by SA team ,Mohamed Imran,2022-01-18,VIP Capacity Upgrade,N/A,DAR,N/A,PAT Pass / On Air,N/A,N/A,Completed,2022-02-01,Completed,2022-02-03,Completed,2022-02-01,Pending,Pass,2022-06-05,Completed,2022-02-05,0,2022-08-02T11:52:18.351Z,2022-09-09T16:36:21.319Z,Edit 08-30,Edit 08-30,Edit 08-30,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-30,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0c6,202201019,Mobitel Direct,Other Project 2022,COL111,Ramanayake_Mw_Cololmbo_2,2022-02-08,1. Miscellaneous HO Huawei2022,GUL,TBC,Approved,123,TBC,N/A,N/A,N/A,4,290,34,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Thilanka,2020-01-19,This temporary installation for“Nawam Perahera” of Gangarama temple 2022		Need to commission before 10th February 2022 and can remove after 18th February 2022,Mohamed Imran,2022-02-10,VIP Capacity Upgrade,N/A,L & H,N/A,PAT Pass / On Air,N/A,N/A,Completed,2022-02-11,Completed,2022-02-13,Completed,2022-02-11,Pending,Pass,2022-03-28,Completed,2022-02-11,0,2022-08-02T11:52:18.363Z,2022-08-02T11:52:18.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62e90ff2092ec9454c92a0b7,202201004,Mobitel Direct,Other Project 2022,TKEL03,Edit 6,2022-01-12,1. Miscellaneous HO Huawei2022,Edit 6,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,2 for All,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Rabel,2020-01-04,Temporary Pole installation done by Mobitel 			This temporary installation for Kelaniya Duruthu Perahera 2021			Need to commission before 16th January 2022 and can remove after 22nd  January 2022,Indika Shantha,2022-01-13,VIP Capacity Upgrade,N/A,L&H,Site Removal done on 19/1/2022,PAT Pass / On Air,N/A,N/A,Completed,2022-01-16,Completed,2022-01-18,Completed,2022-01-17,Pending,Pending,Invalid date,Completed,2022-09-06,0,2022-08-02T11:52:18.351Z,2022-09-09T11:30:55.443Z,Edit 08-31,Edit 08-31,Edit 08-31,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-31,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0c0,202201013,Mobitel Direct,Other Project 2022,MTPAL1,Edit 7,2022-01-31,1. Miscellaneous HO Huawei2022,Edit 7,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,2020-01-13,N/A,Yomal Kodagoda,2022-02-02,New Site,N/A,null,Tower Pending,Installation Pending,Implementation,Civil,Pending,Invalid date,Pending,Invalid date,Pending,Invalid date,Pending,Pending,Invalid date,Completed,2022-08-17,0,2022-08-02T11:52:18.357Z,2022-09-09T11:39:06.573Z,Edit 08-32,Edit 08-32,Edit 08-32,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Edit 08-32,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
62e90ff2092ec9454c92a0b6,202201003,Mobitel Direct,Other Project 2022,RTTMG1,Edit 8,2022-01-12,1. Miscellaneous HO Huawei2022,Edit 8,TBC,Approved,1900-05-02,TBC,N/A,N/A,N/A,4 for all,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Tiresh,2020-01-03,Gamata Sanniwedanaya site			Temporary sites till New tower construction,Yomal Kodagoda,2022-01-18,New Site,N/A,L & H,N/A,PAT Pass / On Air,N/A,N/A,Completed,2022-01-20,Completed,2022-01-22,Completed,2022-01-27,Pending,Pass,2022-04-21,Completed,2022-01-27,0,2022-08-02T11:52:18.350Z,2022-08-26T06:24:58.216Z,Edit 08-33,Edit 08-33,Edit 08-33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62e90ff2092ec9454c92a0e0,202201045,Mobitel Direct,Other Project 2022,MTTEL2,Edit 9,2022-03-18,1. Miscellaneous HO Huawei2022,Edit 9,TBC,Pending,1900-05-02,TBC,N/A,N/A,N/A,Existing,Edit,Edit,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Chandimal,2020-02-14,N/A,Suranga Gunawardhana,2022-03-21,New Site,N/A,null,Approval Pending,Installation Pending,Approval,Planning,Pending,null,Pending,null,Pending,null,Pending,Pending,null,Pending,null,0,2022-08-02T11:52:18.379Z,2022-08-26T06:24:58.216Z,Edit 08-34,Edit 08-34,Edit 08-34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Edit 08-34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
